1,2,3,4,5,6,7,8,9,10,11,12
192.8911,15.5021,29.7025,0,T-H,0.0,0.0,57.9625,21.2134,10.5816,5528.0,34.0
189.1543,15.9772,28.938,0,T-H,0.0,0.0,55.9254,20.4841,10.4652,5536.0,34.0
188.5768,15.2894,28.8844,0,T-H,0.0,0.0,56.2561,20.201,10.4472,5536.0,34.0
191.1017,17.151,28.4363,0,T-H,0.0,0.0,55.9467,19.7959,10.583,5536.0,34.0
203.91,22.4177,26.2969,0,T-H,0.0,0.0,58.0087,17.6603,10.0808,5546.0,34.0
205.5323,24.1318,25.3196,0,T-H,0.0,0.0,58.9971,17.1933,10.0222,5546.0,34.0
205.5323,27.2049,22.5467,0,T-H,0.0,0.0,58.8796,16.5748,9.5374,5546.0,34.0
207.2023,33.7917,18.2808,0,T-H,0.0,0.0,58.402,15.2563,8.9838,5527.0,34.0
208.7843,34.7726,17.179,0,T-H,0.0,0.0,58.8052,14.9914,8.6073,5527.0,34.0
210.8118,38.3703,16.3503,0,T-H,0.0,0.0,58.3453,14.751,8.169,5527.0,34.0
217.3049,44.1548,15.0932,0,T-H,0.0,0.0,59.3879,14.7712,7.5165,5574.0,34.0
219.9803,46.6804,14.3823,0,T-H,0.0,0.0,60.104,14.7712,7.2358,5574.0,34.0
220.9398,49.4118,13.3411,0,T-H,0.0,0.0,61.0115,14.8888,6.6498,5574.0,34.0
223.2031,50.4987,12.4823,0,T-H,0.0,0.0,62.0776,15.1568,6.1152,5533.0,34.0
226.4766,48.6673,13.3411,0,T-H,0.0,0.0,61.9699,15.2575,6.436,5533.0,34.0
217.6355,38.755,14.9891,0,T-H,0.0,0.0,58.5252,15.3086,6.5132,5506.0,34.0
216.2618,38.1394,15.1688,0,T-H,0.0,0.0,57.7056,15.7009,6.5132,5506.0,34.0
212.66,36.891,14.773,0,T-H,0.0,0.0,56.3853,15.9972,6.5321,5506.0,34.0
212.66,36.891,14.773,0,T-H,0.0,0.0,56.3853,15.9972,6.5321,5506.0,34.0
210.7922,33.985,15.696,0,T-H,0.0,0.0,55.8923,15.9045,6.6612,5506.0,34.0
209.6123,32.9228,16.1764,0,T-H,0.0,0.0,56.767,16.6484,7.2857,5518.0,34.0
205.9032,31.0459,16.0785,0,T-H,0.0,0.0,55.1765,16.2198,7.3144,5518.0,34.0
204.8268,31.0459,16.0626,0,T-H,0.0,0.0,55.1765,15.7266,7.6801,5518.0,34.0
204.8268,30.6282,16.927,0,T-H,0.0,0.0,54.9094,15.1835,7.8501,5518.0,34.0
201.1315,29.0887,16.927,0,T-H,0.0,0.0,53.6002,14.5083,7.8501,5505.0,34.0
191.9338,27.9154,15.2594,0,T-H,0.0,0.0,52.4897,14.0837,7.649,5505.0,34.0
172.3767,28.4331,14.7886,0,T-H,0.0,0.0,51.07,13.7319,7.5362,5505.0,34.0
162.7285,30.2248,14.7886,0,T-H,0.0,0.0,50.5404,13.9426,7.6131,5505.0,34.0
155.1368,31.1469,15.4662,0,T-H,0.0,0.0,50.3919,14.3348,7.9141,5505.0,34.0
147.9574,33.3902,15.2529,0,T-H,0.0,0.0,49.0791,14.3348,8.3855,5539.0,34.0
141.062,36.2968,14.5432,0,T-H,0.0,0.0,47.1456,14.4459,8.302,5539.0,34.0
130.6888,35.8415,14.5432,0,T-H,0.0,0.0,46.3267,14.5768,8.0544,5539.0,34.0
123.2982,36.7437,15.5504,0,T-H,0.0,0.0,46.836,14.1517,8.2462,5539.0,34.0
93.3975,33.6475,13.4661,0,T-H,0.0,0.0,44.0937,12.9795,8.5029,5574.0,34.0
82.6283,26.6276,13.2913,0,T-H,0.0,0.0,40.4072,11.74,9.5719,5574.0,34.0
80.4419,24.4002,13.3931,0,T-H,0.0,0.0,38.4283,11.4797,9.6268,5574.0,34.0
